
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027117                       # Number of seconds simulated (Second)
simTicks                                  27117469500                       # Number of ticks simulated (Tick)
finalTick                                112613419893750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    352.32                       # Real time elapsed on the host (Second)
hostTickRate                                 76968059                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3518772                       # Number of bytes of host memory used (Byte)
simInsts                                  63063638453                       # Number of instructions simulated (Count)
simOps                                    63144066841                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                178994730                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                  179223007                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 112613419893750                       # Cumulative time (in ticks) in various power states (Tick)
board.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 112613419893750                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.dptw_caches.demandHits::processor.switch.core.mmu.dtb.walker        26831                       # number of demand (read+write) hits (Count)
board.cache_hierarchy.dptw_caches.demandHits::total        26831                       # number of demand (read+write) hits (Count)
board.cache_hierarchy.dptw_caches.overallHits::processor.switch.core.mmu.dtb.walker        26831                       # number of overall hits (Count)
board.cache_hierarchy.dptw_caches.overallHits::total        26831                       # number of overall hits (Count)
board.cache_hierarchy.dptw_caches.demandMisses::processor.switch.core.mmu.dtb.walker          956                       # number of demand (read+write) misses (Count)
board.cache_hierarchy.dptw_caches.demandMisses::total          956                       # number of demand (read+write) misses (Count)
board.cache_hierarchy.dptw_caches.overallMisses::processor.switch.core.mmu.dtb.walker          956                       # number of overall misses (Count)
board.cache_hierarchy.dptw_caches.overallMisses::total          956                       # number of overall misses (Count)
board.cache_hierarchy.dptw_caches.demandMissLatency::processor.switch.core.mmu.dtb.walker      6763750                       # number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.dptw_caches.demandMissLatency::total      6763750                       # number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.dptw_caches.overallMissLatency::processor.switch.core.mmu.dtb.walker      6763750                       # number of overall miss ticks (Tick)
board.cache_hierarchy.dptw_caches.overallMissLatency::total      6763750                       # number of overall miss ticks (Tick)
